新出房源，业主诚售，单价低，楼层好，视野开阔,信和花园 , 4室2厅 , 156.48平米 ,81人关注 , 共46次带看 , 30天以前发布,980,单价62628元/平米,https://sh.lianjia.com/ershoufang/107100334644.html,浦东,1
满5年税少，交通9号线，户型方正，孩子就读，改善精选,金桥爱建园 , 3室2厅 , 134.95平米 ,163人关注 , 共39次带看 , 一年前发布,1150,单价85217元/平米,https://sh.lianjia.com/ershoufang/107000200241.html,浦东,1
房东在国外买好房子，满五唯一，税费少，钥匙房,上海绿城 , 3室2厅 , 136.51平米 ,43人关注 , 共36次带看 , 一年前发布,1450,单价106220元/平米,https://sh.lianjia.com/ershoufang/107000415605.html,浦东,1
满五年唯一 南北通透 全明观景格局 价格可议,第五大道 , 2室2厅 , 111.52平米 ,31人关注 , 共31次带看 , 2个月以前发布,1040,单价93257元/平米,https://sh.lianjia.com/ershoufang/107100159081.html,浦东,1
大三居陆家嘴江景房同时可以看陆家嘴三大神器,仁恒滨江园 , 3室2厅 , 167.17平米 ,24人关注 , 共22次带看 , 一年前发布,1598,单价95592元/平米,https://sh.lianjia.com/ershoufang/107000144273.html,浦东,1
近地铁临河双南户型，中高区景观好 满五年唯一 省税费,阳光花城 , 2室2厅 , 97.62平米 ,160人关注 , 共24次带看 , 一年前发布,690,单价70683元/平米,https://sh.lianjia.com/ershoufang/107000156107.html,浦东,1
业主诚意出售+精装修地暖+空调+1640万,浦东世纪花园(公寓) , 4室2厅 , 189.6平米 ,235人关注 , 共22次带看 , 一年前发布,1580,单价83334元/平米,https://sh.lianjia.com/ershoufang/107000206531.html,浦东,1
正南四房+位置安静+价格可谈+學区未用,金桥爱建园 , 4室2厅 , 154.77平米 ,111人关注 , 共23次带看 , 一年前发布,1350,单价87227元/平米,https://sh.lianjia.com/ershoufang/107000249507.html,浦东,1
临-近大门  高区广阔视野。豪-华装修,张江汤臣豪园(二期) , 3室2厅 , 136.45平米 ,83人关注 , 共19次带看 , 11个月以前发布,1099,单价80543元/平米,https://sh.lianjia.com/ershoufang/107000376541.html,浦东,1
南北2房、精致装修带水暖、靠河位置、随时可看,杉林新月环林东路879弄 , 2室2厅 , 71.06平米 ,78人关注 , 共20次带看 , 11个月以前发布,398,单价56010元/平米,https://sh.lianjia.com/ershoufang/107000623705.html,浦东,1
天和湖滨地铁2号线3公里商品房景观位置总价低业主急售,天和湖滨家园(公寓) , 2室2厅 , 85.88平米 ,58人关注 , 共19次带看 , 5个月以前发布,300,单价34933元/平米,https://sh.lianjia.com/ershoufang/107001697653.html,浦东,1
精装修，中间套，品质小区，小三房，满五年唯一,万科清林径 , 3室2厅 , 96.11平米 ,100人关注 , 共18次带看 , 11个月以前发布,352,单价36625元/平米,https://sh.lianjia.com/ershoufang/107002081255.html,浦东,1
品珍苑，顶楼复式，使用面积大，附送小花园,品珍苑 , 4室2厅 , 125.29平米 ,609人关注 , 共14次带看 , 9个月以前发布,525,单价41903元/平米,https://sh.lianjia.com/ershoufang/107002165231.html,浦东,1
小区中间位置  赠送前后花园   产权清晰  满五唯一,汤臣豪园(二期) , 4室2厅 , 226平米 ,104人关注 , 共20次带看 , 8个月以前发布,1528,单价67611元/平米,https://sh.lianjia.com/ershoufang/107002197219.html,浦东,1
金禾新苑 2室2厅 490万,金禾新苑 , 2室2厅 , 81.47平米 ,61人关注 , 共14次带看 , 5个月以前发布,490,单价60145元/平米,https://sh.lianjia.com/ershoufang/107002327555.html,浦东,1
3南1北户型+采光好+小高层+得房率高+居住舒服+诚意,盛世年华 , 3室2厅 , 161.1平米 ,6人关注 , 共16次带看 , 16天以前发布,1800,单价111732元/平米,https://sh.lianjia.com/ershoufang/107100375255.html,浦东,1
此房满五唯一，产权清晰，到价签字,上南二村 , 2室1厅 , 51.9平米 ,46人关注 , 共23次带看 , 27天以前发布,310,单价59731元/平米,https://sh.lianjia.com/ershoufang/107100342527.html,浦东,1
临港发展商圈，花园位置、楼间距宽，全天采光好。,丽泽荷亭苑 , 3室2厅 , 102.93平米 ,34人关注 , 共7次带看 , 1个月以前发布,182,单价17682元/平米,https://sh.lianjia.com/ershoufang/107100294017.html,浦东,1
满五唯一    板式南北通  业主诚意出售,古北嘉年华庭 , 3室2厅 , 171.53平米 ,102人关注 , 共17次带看 , 5个月以前发布,1550,单价90364元/平米,https://sh.lianjia.com/ershoufang/107002318645.html,长宁,1
内环内董家渡金融城，小区唯一在售高区朝南，可谈价格,中福花苑 , 1室1厅 , 42.46平米 ,360人关注 , 共18次带看 , 10个月以前发布,460,单价108338元/平米,https://sh.lianjia.com/ershoufang/107000397835.html,黄浦,1
精装二房诚意出售，满五年唯一.,齐爱佳苑 , 2室1厅 , 81平米 ,12人关注 , 共2次带看 , 6天以前发布,415,单价51235元/平米,https://sh.lianjia.com/ershoufang/107100403875.html,浦东,1
财富海景前排02户型品装 满五年唯一税低 保养九成新,财富海景花园 , 4室2厅 , 346.87平米 ,29人关注 , 共8次带看 , 一年前发布,5185,单价149480元/平米,https://sh.lianjia.com/ershoufang/107000052465.html,浦东,1
满五年唯一+业主上门挂牌推荐+高区景观两房,上海绿城 , 2室2厅 , 106.91平米 ,69人关注 , 共11次带看 , 一年前发布,1030,单价96343元/平米,https://sh.lianjia.com/ershoufang/107000234531.html,浦东,1
南北两房，小高层带电梯，低总价，以得房率而出名,新华公寓 , 2室2厅 , 95.12平米 ,147人关注 , 共34次带看 , 2个月以前发布,800,单价84105元/平米,https://sh.lianjia.com/ershoufang/107100200039.html,长宁,1
仁恒二期大三房，正看小区泳池，满五低税，送车位，,仁恒河滨花园 , 4室2厅 , 165.48平米 ,25人关注 , 共14次带看 , 24天以前发布,1580,单价95480元/平米,https://sh.lianjia.com/ershoufang/107100352336.html,长宁,1
宝成二期下叠别墅，小区中 心，房子满五年唯一 税少,西郊宝成花苑 , 4室2厅 , 201平米 ,19人关注 , 共17次带看 , 23天以前发布,1500,单价74627元/平米,https://sh.lianjia.com/ershoufang/107100353924.html,长宁,1
满五唯一，税少，精装修，带地暖，拎包入住，闹中取静,天山怡景苑 , 2室2厅 , 89平米 ,10人关注 , 共2次带看 , 6天以前发布,830,单价93259元/平米,https://sh.lianjia.com/ershoufang/107100404572.html,长宁,1
阳光威尼斯(三期) 1室2厅 370万,阳光威尼斯(三期) , 1室2厅 , 74.87平米 ,72人关注 , 共30次带看 , 一年前发布,370,单价49419元/平米,https://sh.lianjia.com/ershoufang/107001925199.html,普陀,1
《翠湖天地御苑》《新装修全屋地暖》《高区太平湖景观,翠湖天地御苑 , 3室2厅 , 187.46平米 ,93人关注 , 共13次带看 , 一年前发布,2998,单价159928元/平米,https://sh.lianjia.com/ershoufang/107000053987.html,黄浦,1
地铁口南北通四房 精装带中 央空调 满五年唯一 省税。,金色家园 , 4室2厅 , 203.65平米 ,43人关注 , 共11次带看 , 一年前发布,1700,单价83477元/平米,https://sh.lianjia.com/ershoufang/107000213107.html,黄浦,1
正南朝向 视野宽阔 精品一房带电梯,瑞雪大楼 , 1室0厅 , 39.14平米 ,52人关注 , 共20次带看 , 5个月以前发布,450,单价114972元/平米,https://sh.lianjia.com/ershoufang/107000356589.html,黄浦,1
一线前排，江景房，270弧形阳台,财富海景花园 , 3室2厅 , 355平米 ,95人关注 , 共13次带看 , 一年前发布,4600,单价129578元/平米,https://sh.lianjia.com/ershoufang/107000358879.html,浦东,1
真实报价，环境优，户型正气，采光好，业主诚意急售,明纶园 , 2室2厅 , 83.64平米 ,232人关注 , 共12次带看 , 一年前发布,368,单价43999元/平米,https://sh.lianjia.com/ershoufang/107000374523.html,浦东,1
外环内，满五唯一税费少，出行方便！,翠竹苑 , 2室1厅 , 63平米 ,240人关注 , 共12次带看 , 一年前发布,335,单价53175元/平米,https://sh.lianjia.com/ershoufang/107000536113.html,浦东,1
满五年唯一，厅南北直通，低区拆光无遮挡，格局好,达安花园 , 3室2厅 , 140.19平米 ,28人关注 , 共31次带看 , 3个月以前发布,1220,单价87025元/平米,https://sh.lianjia.com/ershoufang/107100123489.html,静安,1
型方正，可改四房。次顶楼，视野采光好。税费少。,慧芝湖花园 , 3室2厅 , 133.63平米 ,9人关注 , 共26次带看 , 9个月以前发布,1380,单价103271元/平米,https://sh.lianjia.com/ershoufang/107002170171.html,闸北,1
房东移民，诚意出售，单价低南北户型一梯2户随时看房,鞍山路310弄 , 2室2厅 , 93平米 ,192人关注 , 共63次带看 , 14天以前发布,565,单价60753元/平米,https://sh.lianjia.com/ershoufang/107100381904.html,杨浦,1
满五唯一无 税费，精装修省时省事，好楼层视野无 敌！,中房公寓 , 2室2厅 , 74.25平米 ,58人关注 , 共27次带看 , 22天以前发布,330,单价44445元/平米,https://sh.lianjia.com/ershoufang/107100359335.html,嘉定,1
金玉良苑 环境优美 适合居住 过渡好房,金玉良苑 , 3室2厅 , 111.04平米 ,23人关注 , 共0次带看 , 一年前发布,280,单价25217元/平米,https://sh.lianjia.com/ershoufang/107001630569.html,金山,1
有钥匙随时看.满五年唯一免个税.一梯两户南北户型！,天山新苑 , 2室2厅 , 94.08平米 ,209人关注 , 共17次带看 , 一年前发布,630,单价66965元/平米,https://sh.lianjia.com/ershoufang/107000104775.html,长宁,1
总价低 朝南 精装修全明 近地铁虹桥路10.3.4号线！,新顺小区 , 1室1厅 , 42.08平米 ,177人关注 , 共7次带看 , 一年前发布,265,单价62976元/平米,https://sh.lianjia.com/ershoufang/107000391913.html,长宁,1
